page|57
项目|附注|2021 年 12 月 31 日|2020 年 12 月 31 日
研发费用||48,036,920.22|44,854,559.17
财务费用||-4,471,386.11|-2,659,518.67
其中：利息费用|||
利息收入||4,641,345.03|2,925,531.56
加：其他收益||3,893,401.43|5,467,111.88
投资收益（损失以“－”号填列）||21,050,464.82|14,363,846.44
其中：对联营企业和合营企业的投资收益|||
以摊余成本计量的金融资产终止确认收益|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|||
信用减值损失（损失以“-”号填列）||183,538.05|169,745.95
资产减值损失（损失以“-”号填列）||-7,567,662.27|-2,814,513.33
资产处置收益（损失以“－”号填列）||39,029.13|-1,716,040.70
二、营业利润（亏损以“－”号填列）||37,333,154.88|25,123,319.42
加：营业外收入||41,741.60|13,440,766.88
减：营业外支出||97,018.96|8,980.97
三、利润总额（亏损总额以“－”号填列）||37,277,877.52|38,555,105.33
减：所得税费用||336,889.06|2,749,822.93
四、净利润（净亏损以“－”号填列）||36,940,988.46|35,805,282.40
（一）持续经营净利润（净亏损以“－”号填列）||36,940,988.46|35,805,282.40
（二）终止经营净利润（净亏损以“－”号填列）|||
五、其他综合收益的税后净额|||
（一）不能重分类进损益的其他综合收益|||
1.重新计量设定受益计划变动额|||
2.权益法下不能转损益的其他综合收益|||
3.其他权益工具投资公允价值变动|||
4.企业自身信用风险公允价值变动|||
（二）将重分类进损益的其他综合收益|||
1.权益法下可转损益的其他综合收益|||
page|60
2.其他债权投资公允价值变动|||
3.金融资产重分类计入其他综合收益的金额|||
4.其他债权投资信用减值准备|||
5.现金流量套期储备|||
6.外币财务报表折算差额|||
7.其他|||
六、综合收益总额||36,940,988.46|35,805,282.40
七、每股收益：|||
（一）基本每股收益(元/股)||0.31|0.30
（二）稀释每股收益(元/股)||0.31|0.30
page|60
项目|附注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||1,136,788,542.12|1,031,330,745.84
收到的税费返还||23,627,806.31|
收到其他与经营活动有关的现金||8,591,545.23|21,833,410.32
经营活动现金流入小计||1,169,007,893.66|1,053,164,156.16
购买商品、接受劳务支付的现金||889,661,923.70|722,168,107.65
支付给职工及为职工支付的现金||121,866,569.39|115,520,564.04
支付的各项税费||9,656,710.25|25,330,286.61
支付其他与经营活动有关的现金||33,708,549.36|29,518,472.51
经营活动现金流出小计||1,054,893,752.70|892,537,430.81
经营活动产生的现金流量净额||114,114,140.96|160,626,725.35
二、投资活动产生的现金流量：|||
收回投资收到的现金||1,123,000,000.00|940,000,000.00
取得投资收益收到的现金||21,050,464.82|14,363,846.44
处置固定资产、无形资产和其他长期资产收回的现金净额||50,000.00|836,000.00
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||1,144,100,464.82|955,199,846.44
购建固定资产、无形资产和其他长期资产支付的现金||260,865,280.86|151,476,025.90
投资支付的现金||1,056,000,000.00|990,000,000.00
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||1,316,865,280.86|1,141,476,025.90
投资活动产生的现金流量净||-172,764,816.04|-186,276,179.46
